protocol,time,analyte,mean,sd,n_obs
P5,6,HT,0.398,0.028,15
P1,0,INSULINE,5.92,1.544,15
P1,0.5,INSULINE,24.46,11.313,15
P1,1,INSULINE,10.24,4.368,15
P1,1.5,INSULINE,11.35,5.088,14
P1,2,INSULINE,7.2133,2.341,15
P1,24,INSULINE,6.54,1.635,15
P1,3,INSULINE,4.6933,1.928,15
P1,6,INSULINE,3.46,1.032,15
P2,0,INSULINE,5.62,2.234,15
P2,0.5,INSULINE,3.6429,1.825,14
P2,1,INSULINE,3.42,2.598,15
P2,1.5,INSULINE,13.28,5.755,15
P2,2,INSULINE,6.4643,2.969,14
P2,24,INSULINE,5.1333,1.218,15
P2,3,INSULINE,4.1667,2.453,15
P2,6,INSULINE,2.7714,1.012,14
P3,0,INSULINE,6.0357,1.816,14
P3,0.5,INSULINE,3.8154,1.972,13
P3,1,INSULINE,3.3286,2.712,14
P3,1.5,INSULINE,20.2929,10.915,14
P3,2,INSULINE,13.25,4.206,12
P3,24,INSULINE,5.55,1.714,14
P3,3,INSULINE,5.7786,1.976,14
P3,6,INSULINE,3.0273,1.112,11
P4,0,INSULINE,6.6733,2.557,15
P4,0.5,INSULINE,8.5,3.57,14
P4,1,INSULINE,3.7,2.07,15
P4,1.5,INSULINE,11.5067,5.791,15
P4,2,INSULINE,7.05,3.12,14
P4,24,INSULINE,5.2125,2.116,16
P4,3,INSULINE,4.72,1.841,15
P4,6,INSULINE,2.9857,1.047,14
P5,0,INSULINE,6.2533,2.685,15
P5,0.5,INSULINE,5.08,2.49,15
P5,1,INSULINE,3.8,3.584,15
P5,1.5,INSULINE,12.7857,9.812,14
P5,2,INSULINE,6.1071,4.282,14
P5,24,INSULINE,6.3,1.904,14
P5,3,INSULINE,3.1,1.902,15
P5,6,INSULINE,3.0133,1.455,15
P1,0,KREAT,81.6,11.494,15
P1,0.5,KREAT,79.6,9.44,15
P1,1,KREAT,79.6,10.013,15
P1,1.5,KREAT,77.1429,9.437,14
P1,2,KREAT,77.5333,10.343,15
P1,24,KREAT,79.9333,10.096,15
P1,3,KREAT,75.3333,9.737,15
P1,6,KREAT,74.2667,8.405,15
P2,0,KREAT,81.6,9.432,15
P2,0.5,KREAT,93.3571,10.938,14
P2,1,KREAT,103.5333,15.037,15
P2,1.5,KREAT,97.5333,11.951,15
P2,2,KREAT,94.5,8.327,14
P2,24,KREAT,82.8,9.017,15
P2,3,KREAT,87.5333,10.162,15
P2,6,KREAT,81.6429,8.723,14
P3,0,KREAT,84.2143,9.333,14
P3,0.5,KREAT,98.3846,12.829,13
P3,1,KREAT,107.5714,17.926,14
